Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,278600,309800,254200,352400,229800,201600
Feb 2005,100.9,101.1,101.2,100.9,100.7,100.5,281000,313100,257300,355600,231400,202600
Mar 2005,101.9,102.2,102.4,102,101.6,101.3,283800,316500,260300,359400,233500,204200
Apr 2005,102.8,103.2,103.6,102.8,102.2,102,286300,319600,263400,362300,234900,205600
May 2005,103.9,104.3,105,103.7,103.2,103.1,289400,323000,266900,365400,237200,207800
Jun 2005,104.9,105.2,106.1,104.5,104.2,104.2,292100,325800,269700,368300,239500,210100
Jul 2005,105.5,105.6,106.8,104.8,105.1,105.2,293800,327000,271500,369300,241500,212100
Aug 2005,106.1,106.3,107.6,105.2,105.9,106,295500,329200,273500,370700,243400,213700
Sep 2005,107.1,107.1,108.6,105.9,106.7,107.3,298300,331700,276100,373200,245200,216300
Oct 2005,107.7,107.6,109.2,106.5,107.3,107.9,299900,333200,277600,375300,246600,217500
Nov 2005,108.2,108.2,109.7,107,108,108.4,301300,335100,278900,377100,248200,218500
Dec 2005,108.6,108.4,110.1,107.2,108.7,109.3,302500,335700,279900,377800,249800,220300
Jan 2006,110.1,110,111.8,108.6,110.1,110.4,306600,340700,284200,382700,253000,222600
Feb 2006,112,111.9,114.1,110.3,111.8,112.4,311900,346600,290000,388700,256900,226600
Mar 2006,114.2,114.2,116.7,112.3,114.2,114.1,318000,353700,296700,395700,262400,230000
Apr 2006,116.3,116.2,119,114.1,116.7,116.3,323900,359900,302500,402100,268200,234500
May 2006,118.5,118.4,121.8,115.8,119.7,118.5,330000,366700,309600,408100,275100,238900
Jun 2006,120.5,120.2,124.3,117.2,122.6,120.3,335600,372300,316000,413000,281700,242500
Jul 2006,121.7,121.3,125.7,118.1,124.4,121.6,338900,375700,319500,416200,285900,245100
Aug 2006,122.6,122,126.6,118.6,126.3,122.9,341400,377800,321800,417900,290200,247800
Sep 2006,123.4,122.6,127.2,119.1,127.7,124.1,343700,379700,323300,419700,293500,250200
Oct 2006,123.7,122.9,127.6,119.4,128.4,124.3,344500,380600,324400,420800,295100,250600
Nov 2006,123.8,122.9,127.7,119.3,128.7,124.5,344800,380600,324600,420400,295800,251000
Dec 2006,123.5,122.6,127.7,118.8,128.9,123.9,343900,379700,324600,418700,296200,249800
Jan 2007,124.7,123.7,128.9,119.9,129.7,125.4,347300,383100,327700,422500,298100,252800
Feb 2007,126.4,125.5,130.8,121.7,131.2,127,352000,388700,332500,428900,301500,256000
Mar 2007,128.4,127.6,133.2,123.5,132.5,128.9,357600,395200,338600,435200,304500,259900
Apr 2007,130.4,129.6,135.8,125,134.3,131,363200,401400,345200,440500,308600,264100
May 2007,132.3,131.6,138.3,126.7,136.2,132.9,368500,407600,351600,446500,313000,267900
Jun 2007,134,133.3,140.5,128.1,138.1,134.2,373200,412800,357200,451400,317400,270500
Jul 2007,135.1,134.3,141.8,128.8,139.3,135.5,376300,415900,360500,453900,320100,273200
Aug 2007,135.8,134.8,142.5,129.3,140.3,136.6,378200,417500,362200,455700,322400,275400
Sep 2007,136.3,135.2,142.8,129.8,141.2,137.4,379600,418700,363000,457400,324500,277000
Oct 2007,136.7,135.6,143,130.3,141.3,137.7,380700,420000,363500,459200,324700,277600
Nov 2007,136.7,135.7,142.9,130.4,141.3,137.9,380700,420300,363300,459500,324700,278000
Dec 2007,136.7,135.6,142.7,130.4,141.4,137.8,380700,420000,362700,459500,324900,277800
Jan 2008,137.4,136.3,143.5,131.2,142.3,138.5,382700,422100,364800,462300,327000,279200
Feb 2008,138.8,137.9,145.3,132.5,143.2,139.7,386600,427100,369400,466900,329100,281600
Mar 2008,140.2,139.4,147.5,133.6,143.9,140.8,390500,431700,374900,470800,330700,283900
Apr 2008,140.8,140.1,148.5,134.1,144.4,141.5,392100,433900,377500,472600,331800,285300
May 2008,140.9,140,148.6,134,144.6,141.8,392400,433600,377700,472200,332300,285900
Jun 2008,140.7,139.8,148.4,133.7,144.6,141.7,391800,433000,377200,471200,332300,285700
Jul 2008,139.7,138.8,147.4,132.7,143.6,140.7,389100,429900,374700,467600,330000,283700
Aug 2008,138.8,137.9,146.4,131.9,142.5,140,386600,427100,372100,464800,327500,282200
Sep 2008,137.7,136.7,144.9,131,141.4,138.8,383500,423400,368300,461600,324900,279800
Oct 2008,136.1,135.4,143.3,129.8,139.8,136.6,379000,419300,364300,457400,321300,275400
Nov 2008,134.2,133.6,141.2,128.3,138.2,134.3,373700,413800,358900,452100,317600,270700
Dec 2008,132,131.4,138.3,126.5,135.7,132.4,367600,406900,351600,445800,311800,266900
Jan 2009,130.5,130,136.8,125.2,134,130.5,363400,402600,347700,441200,307900,263100
Feb 2009,129.7,129.4,136.2,124.6,132.7,129.2,361200,400800,346200,439100,304900,260500
Mar 2009,129.6,129.4,136.5,124.5,131.7,129.1,360900,400800,347000,438700,302600,260300
Apr 2009,130.4,130.2,137.1,125.5,131.8,130.2,363200,403200,348500,442300,302900,262500
May 2009,131.6,131.5,138.2,126.9,132.4,131.6,366500,407300,351300,447200,304300,265300
Jun 2009,132.9,132.8,139.2,128.5,133.3,133,370100,411300,353800,452800,306300,268100
Jul 2009,134.4,134.2,140.5,129.9,134.5,134.7,374300,415600,357200,457800,309100,271600
Aug 2009,135.8,135.7,141.8,131.6,135.7,136.2,378200,420300,360500,463800,311800,274600
Sep 2009,137.3,137.2,143.1,133.2,136.9,137.8,382400,424900,363800,469400,314600,277800
Oct 2009,138.6,138.6,144.4,134.6,137.9,138.8,386000,429200,367100,474300,316900,279800
Nov 2009,139.7,139.6,145.1,135.9,139.1,140.4,389100,432300,368800,478900,319700,283000
Dec 2009,140.6,140.2,145.7,136.5,140.1,142,391600,434200,370400,481000,321900,286300
Jan 2010,141.9,141.7,146.7,138.3,141.1,142.7,395200,438800,372900,487400,324200,287700
Feb 2010,143.8,143.8,148.9,140.3,142.5,144.3,400500,445300,378500,494400,327500,290900
Mar 2010,145.4,145.7,150.6,142.3,144.2,145.2,404900,451200,382800,501500,331400,292700
Apr 2010,146.3,146.6,151.7,143.2,145.3,145.8,407400,454000,385600,504600,333900,293900
May 2010,146.6,147.1,152.2,143.7,145.9,145.6,408300,455600,386900,506400,335300,293500
Jun 2010,146.4,146.9,152.2,143.5,146,145,407700,454900,386900,505700,335500,292300
Jul 2010,145.4,146.1,151.3,142.6,145.1,143.9,404900,452500,384600,502500,333400,290100
Aug 2010,144.6,145.3,150.1,142.1,144.4,143.1,402700,450000,381600,500800,331800,288500
Sep 2010,144.4,144.9,149.5,141.9,144.2,143,402200,448800,380000,500100,331400,288300
Oct 2010,144.2,144.7,149,141.9,143.5,143,401600,448100,378800,500100,329800,288300
Nov 2010,144.3,145,149,142.4,143.4,142.8,401900,449100,378800,501800,329500,287900
Dec 2010,144.4,144.9,148.7,142.4,144,143.1,402200,448800,378000,501800,330900,288500
Jan 2011,145.2,145.9,149.2,143.7,143.8,143.5,404400,451900,379300,506400,330500,289300
Feb 2011,146.7,147.7,151,145.5,144.6,144.9,408600,457400,383800,512700,332300,292100
Mar 2011,148.4,149.6,153.1,147.3,146,146.1,413300,463300,389200,519100,335500,294500
Apr 2011,149.9,151.2,154.7,149,146.3,147.4,417500,468300,393200,525100,336200,297200
May 2011,150.8,152.4,155.6,150.2,147,148,420000,472000,395500,529300,337800,298400
Jun 2011,151.2,152.7,156.1,150.5,147.6,148.6,421100,472900,396800,530400,339200,299600
Jul 2011,151.6,153,156.3,150.8,148.2,148.9,422200,473800,397300,531400,340600,300200
Aug 2011,151.7,153.1,155.9,151.2,148.7,148.9,422500,474200,396300,532800,341700,300200
Sep 2011,151.7,153,155.7,151.2,148.7,149,422500,473800,395800,532800,341700,300400
Oct 2011,151.8,153.2,155.9,151.5,148.6,148.9,422800,474500,396300,533900,341500,300200
Nov 2011,151.6,153.1,156,151.2,148.2,148.6,422200,474200,396600,532800,340600,299600
Dec 2011,151.1,152.8,155.5,151.1,147.6,147.8,420800,473200,395300,532500,339200,298000
Jan 2012,151.4,153.4,156.3,151.5,146.8,147.5,421600,475100,397300,533900,337300,297400
Feb 2012,152.8,155.1,157.5,153.6,147.6,148.3,425500,480300,400400,541300,339200,299000
Mar 2012,154.8,157.4,160,155.7,148.9,149.9,431100,487500,406700,548700,342200,302200
Apr 2012,156.3,159,161.6,157.4,150.7,150.9,435300,492400,410800,554700,346300,304200
May 2012,157.3,160.1,162.9,158.3,150.7,152,438100,495800,414100,557800,346300,306400
Jun 2012,157.6,160.5,163.3,158.6,151.1,152.2,438900,497100,415100,558900,347200,306800
Jul 2012,157.1,159.9,162.8,158,151.2,151.8,437500,495200,413800,556800,347500,306000
Aug 2012,156.8,159.6,162.8,157.5,150.6,151.4,436700,494300,413800,555000,346100,305200
Sep 2012,156.5,159.3,162.4,157.3,149.9,150.9,435900,493400,412800,554300,344500,304200
Oct 2012,156.1,158.9,162.1,156.9,149.7,150.7,434700,492100,412100,552900,344000,303800
Nov 2012,155.7,158.4,161.6,156.3,149.8,150.3,433600,490600,410800,550800,344200,303000
Dec 2012,155.2,158,161.2,155.9,149.6,149.5,432200,489300,409800,549400,343800,301400
Jan 2013,155,157.8,161.1,155.7,149.6,149,431700,488700,409500,548700,343800,300400
Feb 2013,156,159,162.3,156.9,150.7,149.6,434500,492400,412600,552900,346300,301600
Mar 2013,157.5,160.7,164,158.6,151.6,150.7,438600,497700,416900,558900,348400,303800
Apr 2013,159,162.3,165.4,160.3,152.5,152.2,442800,502600,420400,564900,350400,306800
May 2013,160.3,163.7,166.9,161.6,152.9,153.4,446400,507000,424300,569500,351400,309300
Jun 2013,160.8,164.3,167.5,162.3,153.8,153.2,447800,508800,425800,571900,353400,308900
