Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,218600,238300,227800,252500,159700,146000
Feb 2005,100.9,101.1,101.1,101.1,100.6,100.2,220500,240800,230100,255300,160700,146200
Mar 2005,102.2,102.6,102.6,102.5,101.6,100.7,223300,244400,233500,258800,162300,146900
Apr 2005,103.5,103.9,104,103.8,102.5,101.6,226100,247500,236700,262100,163700,148200
May 2005,105,105.4,105.6,105.1,104.2,103.2,229400,251100,240300,265400,166400,150600
Jun 2005,106.1,106.6,106.8,106.4,105.1,103.8,231800,253900,243100,268700,167800,151400
Jul 2005,106.9,107.5,107.8,107,106,104.5,233600,256100,245400,270200,169300,152500
Aug 2005,108.1,108.8,108.9,108.6,106.6,105.4,236200,259200,247900,274200,170200,153800
Sep 2005,109.3,110.1,110.1,110,107.2,106.5,238800,262300,250600,277800,171200,155400
Oct 2005,110.9,111.8,111.8,111.7,108.7,107.9,242300,266300,254500,282000,173600,157400
Nov 2005,112.2,113.1,113.2,112.8,109.5,109.5,245200,269400,257600,284800,174900,159800
Dec 2005,113.9,114.9,114.9,114.8,110.6,111.3,248900,273700,261500,289900,176600,162400
Jan 2006,117,118.2,118.1,118.3,113.1,113.9,255600,281600,268800,298700,180600,166200
Feb 2006,122.8,124.4,124.3,124.7,117.2,118.6,268300,296300,282900,314900,187200,173000
Mar 2006,130.7,132.6,132.2,133,124.2,125.7,285600,315900,300900,335800,198300,183400
Apr 2006,139,140.8,140.5,141.2,133.4,133.7,303700,335400,319800,356500,213000,195100
May 2006,149.1,150.2,149.8,150.7,145.7,145.6,325800,357800,340900,380500,232700,212400
Jun 2006,158.7,159.2,158.9,159.6,157,157,346800,379200,361700,403000,250700,229100
Jul 2006,165.3,165.4,164.4,166.6,165,165,361200,394000,374200,420700,263500,240700
Aug 2006,170.2,169.4,168.3,170.7,173.2,172.1,371900,403500,383100,431000,276600,251100
Sep 2006,172.9,171.3,169.9,172.9,178.3,176.9,377800,408000,386700,436600,284700,258100
Oct 2006,174.1,171.9,170.8,173.2,181.5,179.5,380400,409500,388700,437300,289900,261900
Nov 2006,174.1,171.5,170.6,172.5,182.7,180.5,380400,408500,388300,435600,291800,263300
Dec 2006,172.6,169.5,170.1,168.7,182.5,180.5,377100,403700,387100,426000,291500,263300
Jan 2007,174,171.1,171.6,170.4,182.8,181.7,380200,407600,390600,430300,291900,265100
Feb 2007,177.1,174.2,175.1,173.1,185.2,185.2,387000,414900,398500,437100,295800,270200
Mar 2007,181.9,179.1,180.4,177.7,188.4,190,397500,426600,410600,448700,300900,277200
Apr 2007,186.5,183.7,185.7,181.6,192.2,195.3,407500,437600,422700,458500,306900,284900
May 2007,190.8,187.9,190.4,185,197.1,199.9,416900,447600,433400,467100,314800,291700
Jun 2007,193.2,190,192.9,186.7,201,202.9,422100,452600,439000,471400,321000,296000
Jul 2007,194.6,191,194,187.6,203.7,204.9,425200,455000,441500,473700,325300,298900
Aug 2007,194.8,190.8,193.4,187.8,206,205.7,425600,454500,440200,474200,329000,300100
Sep 2007,194.4,189.9,192.5,187.1,206.9,206.1,424800,452300,438100,472400,330400,300700
Oct 2007,192.9,188.5,191.4,185.4,205.3,204.4,421500,449000,435600,468100,327900,298200
Nov 2007,190.6,186.2,189,183.2,203.3,202,416500,443500,430200,462600,324700,294700
Dec 2007,188,183.8,186.6,180.8,201,198.3,410800,437800,424700,456500,321000,289300
Jan 2008,186.4,182.3,184.2,180.3,198.8,196.9,407300,434200,419200,455300,317500,287300
Feb 2008,186.6,182.4,184,180.8,198,197.5,407700,434500,418800,456500,316200,288200
Mar 2008,187.4,183.7,185.3,182,197.1,197.2,409500,437600,421700,459600,314800,287700
Apr 2008,187.4,184,186,181.9,197.1,196.1,409500,438300,423300,459300,314800,286100
May 2008,185.7,182.3,184.1,180.5,196,193.8,405800,434200,419000,455800,313000,282800
Jun 2008,184,180.7,183,178.5,195,191,402000,430400,416500,450700,311400,278700
Jul 2008,181.7,178.5,180.1,176.9,193.5,188.4,397000,425200,409900,446700,309000,274900
Aug 2008,180.2,177.3,178.9,175.7,190.6,186.4,393700,422300,407200,443600,304400,272000
Sep 2008,178.2,175.7,176.7,174.8,188.3,182.9,389400,418500,402200,441400,300700,266900
Oct 2008,176.2,173.9,174.3,173.5,185.7,180.1,385000,414200,396700,438100,296600,262800
Nov 2008,173.7,171.5,171.2,171.7,183.7,176.8,379500,408500,389700,433500,293400,258000
Dec 2008,170.4,168,167.2,168.9,181.1,173.8,372300,400200,380500,426500,289200,253600
Jan 2009,166.5,164.4,163.4,165.3,176.7,169.5,363800,391600,371900,417400,282200,247300
Feb 2009,164.1,162.3,161.6,162.9,174.4,165.7,358600,386600,367800,411300,278500,241800
Mar 2009,162.8,161.3,160.2,162.4,170.3,164.3,355700,384200,364600,410100,272000,239700
Apr 2009,162,161,160.1,161.8,167.3,162.7,354000,383500,364400,408500,267200,237400
May 2009,162.5,161.7,161.1,162.2,167.4,162.9,355100,385200,366700,409600,267300,237700
Jun 2009,163.7,163.2,162.5,163.8,167.2,163.9,357700,388700,369900,413600,267000,239100
Jul 2009,165.1,164.9,164,165.6,168.2,164,360700,392800,373300,418100,268600,239300
Aug 2009,166.6,166.5,165.1,167.8,168.8,165.1,364000,396600,375800,423700,269600,240900
Sep 2009,167.8,168,166.6,169.2,169.9,165.6,366600,400200,379200,427200,271300,241600
Oct 2009,169,169.3,167.6,170.7,171.2,166.5,369300,403300,381500,431000,273400,242900
Nov 2009,170.1,170.3,168.4,171.9,172.3,167.5,371700,405700,383300,434000,275200,244400
Dec 2009,171.3,171,169,172.8,173.7,170.6,374300,407300,384600,436300,277400,248900
Jan 2010,172.2,172,169.3,174.4,176,170.4,376300,409700,385300,440400,281100,248600
Feb 2010,174.7,174.8,171,178,177.1,172.5,381700,416400,389200,449500,282800,251700
Mar 2010,177.4,178.1,172.7,182.7,179.4,173,387600,424200,393100,461300,286500,252400
Apr 2010,178.7,179.5,173.2,184.8,182,173.2,390500,427600,394200,466600,290700,252700
May 2010,180.3,181.1,173.4,187.7,184.1,174.4,394000,431400,394700,473900,294000,254400
Jun 2010,181.2,182.4,173,190.3,184.6,173.5,395900,434500,393700,480500,294800,253100
Jul 2010,179.7,180.8,171.4,188.8,182.6,173,392600,430700,390100,476700,291600,252400
Aug 2010,177,178,168.4,186.1,180.4,170.2,386700,424000,383300,469900,288100,248300
Sep 2010,175.2,175.8,166.6,183.5,180,169.6,382800,418800,379200,463300,287500,247400
Oct 2010,173.6,173.9,164.4,181.9,176.7,169.9,379300,414200,374200,459300,282200,247900
Nov 2010,172.1,172.8,163,181.1,175.1,167,376000,411600,371000,457300,279600,243700
Dec 2010,171.5,172.7,162.9,181,173.9,164.3,374700,411400,370800,457000,277700,239700
Jan 2011,170.7,172.2,162.2,180.6,170.9,163.9,373000,410200,369200,456000,272900,239100
Feb 2011,171.2,172.6,163.7,180.2,171.4,164.4,374100,411100,372600,455000,273700,239900
Mar 2011,172.1,173.2,165.1,180.1,171.8,167.3,376000,412600,375800,454800,274400,244100
Apr 2011,173.1,174.6,166.7,181.3,171.3,167.6,378200,415900,379400,457800,273600,244500
May 2011,173.8,175.4,167.4,182.2,171.8,167.9,379800,417800,381000,460100,274400,245000
Jun 2011,174.9,176.6,168.6,183.4,172.4,168.6,382200,420700,383700,463100,275300,246000
Jul 2011,174.6,176.3,169.1,182.3,173.5,167.9,381500,419900,384900,460300,277100,245000
Aug 2011,174.1,176,168.9,182.1,173,165.8,380400,419200,384400,459800,276300,241900
Sep 2011,173,174.6,168.1,180.1,172.9,165.9,378000,415900,382600,454800,276100,242000
Oct 2011,172.5,173.8,167.2,179.3,174,165.6,376900,414000,380500,452700,277900,241600
Nov 2011,171.7,173,167.4,177.7,172.6,164.9,375200,412100,381000,448700,275600,240600
Dec 2011,170.2,172.2,165.8,177.7,170.9,160.5,371900,410200,377400,448700,272900,234200
Jan 2012,169.8,172.2,166.2,177.3,167.7,160,371000,410200,378300,447700,267800,233400
Feb 2012,171.2,173.6,167.4,178.9,168.3,161.6,374100,413500,381000,451700,268800,235800
Mar 2012,172.7,175.3,169.8,179.8,168.5,163.5,377300,417600,386500,454000,269100,238500
Apr 2012,174,176.5,170.9,181.3,170.4,164.9,380200,420400,389000,457800,272100,240600
May 2012,175.7,178.2,172.8,182.8,170.8,167.3,383900,424500,393300,461600,272800,244100
Jun 2012,177,179.5,174.7,183.6,171.6,168.4,386700,427600,397600,463600,274000,245700
Jul 2012,177.6,179.9,175.1,184,172.2,169.8,388100,428500,398500,464600,275000,247700
Aug 2012,177.8,180.2,175.4,184.2,172.1,170.4,388500,429200,399200,465100,274800,248600
Sep 2012,177.7,179.8,175.9,183.1,173.6,170.6,388300,428300,400300,462300,277200,248900
Oct 2012,177.3,179.3,176,182,173.7,170.3,387400,427100,400600,459600,277400,248500
Nov 2012,177.1,179,176.7,180.9,173.3,170.5,387000,426400,402200,456800,276800,248800
