Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,298700,373500,323300,428400,225200,141300
Feb 2005,100.4,100.4,100.4,100.3,100.2,100.5,299900,375000,324600,429700,225700,142000
Mar 2005,100.8,100.7,100.8,100.6,100.5,101.1,301100,376100,325900,431000,226300,142900
Apr 2005,101.1,101.1,101.2,101,100.7,101.7,302000,377600,327200,432700,226800,143700
May 2005,102.3,102.2,102.5,101.9,101.5,103.4,305600,381700,331400,436500,228600,146100
Jun 2005,103.5,103.4,103.8,102.9,102.2,105.1,309200,386200,335600,440800,230200,148500
Jul 2005,104.9,104.7,105.3,104.1,103.5,106.7,313300,391100,340400,446000,233100,150800
Aug 2005,106.3,106.1,106.8,105.4,104.8,108.3,317500,396300,345300,451500,236000,153000
Sep 2005,107.7,107.5,108.3,106.7,106.1,109.9,321700,401500,350100,457100,238900,155300
Oct 2005,108.8,108.5,109.3,107.6,107.1,111.4,325000,405200,353400,461000,241200,157400
Nov 2005,109.9,109.4,110.3,108.5,108.1,112.9,328300,408600,356600,464800,243400,159500
Dec 2005,110.9,110.4,111.2,109.5,109.2,114.5,331300,412300,359500,469100,245900,161800
Jan 2006,112.9,112.2,113,111.3,111.2,116.8,337200,419100,365300,476800,250400,165000
Feb 2006,114.9,114,114.9,113.1,113.2,119.2,343200,425800,371500,484500,254900,168400
Mar 2006,116.9,115.9,116.7,115,115.3,121.6,349200,432900,377300,492700,259700,171800
Apr 2006,119.4,118.1,119.2,116.9,117.8,125.2,356600,441100,385400,500800,265300,176900
May 2006,122,120.3,121.7,118.8,120.2,128.9,364400,449300,393500,508900,270700,182100
Jun 2006,124.6,122.6,124.2,120.8,122.8,132.7,372200,457900,401500,517500,276500,187500
Jul 2006,126.3,124.2,125.8,122.3,124.2,135,377300,463900,406700,523900,279700,190800
Aug 2006,128,125.7,127.4,123.9,125.7,137.4,382300,469500,411900,530800,283100,194100
