Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,118700,118900,117600,120800,102500,131200
Feb 2005,100.2,100.2,99.9,100.6,100.7,100.3,118900,119100,117500,121500,103200,131600
Mar 2005,100.4,100.4,99.8,101.2,101.5,100.7,119200,119400,117400,122200,104000,132100
Apr 2005,101,101,100.3,101.8,102.2,101,119900,120100,118000,123000,104800,132500
May 2005,101.6,101.5,100.9,102.5,103,101.3,120600,120700,118700,123800,105600,132900
Jun 2005,102.2,102.1,101.4,103.1,103.7,101.7,121300,121400,119200,124500,106300,133400
Jul 2005,101.9,101.9,100.9,103.2,103.3,100.9,121000,121200,118700,124700,105900,132400
Aug 2005,101.6,101.6,100.3,103.4,102.8,100.1,120600,120800,118000,124900,105400,131300
Sep 2005,101.4,101.4,99.8,103.6,102.4,99.3,120400,120600,117400,125100,105000,130300
Oct 2005,101.4,101.4,99.7,103.8,101.9,98.5,120400,120600,117200,125400,104400,129200
Nov 2005,101.4,101.4,99.6,103.9,101.5,97.8,120400,120600,117100,125500,104000,128300
Dec 2005,101.4,101.4,99.5,104.1,101,97,120400,120600,117000,125800,103500,127300
Jan 2006,101.7,101.7,99.9,104.2,101.5,97.2,120700,120900,117500,125900,104000,127500
Feb 2006,102,102.1,100.4,104.3,102.1,97.5,121100,121400,118100,126000,104700,127900
Mar 2006,102.3,102.4,100.9,104.4,102.6,97.7,121400,121800,118700,126100,105200,128200
Apr 2006,102.7,102.8,101.5,104.5,103.1,98,121900,122200,119400,126200,105700,128600
May 2006,103.2,103.2,102.2,104.6,103.6,98.2,122500,122700,120200,126400,106200,128800
Jun 2006,103.6,103.7,102.9,104.7,104.1,98.5,123000,123300,121000,126500,106700,129200
Jul 2006,103.9,103.9,103.2,105,103.4,98.3,123300,123500,121400,126800,106000,129000
Aug 2006,104.2,104.3,103.6,105.2,102.7,98.2,123700,124000,121800,127100,105300,128800
Sep 2006,104.4,104.5,103.9,105.4,102,98.1,123900,124300,122200,127300,104600,128700
Oct 2006,104.7,104.9,104.4,105.6,101.3,97.9,124300,124700,122800,127600,103800,128400
Nov 2006,105.1,105.3,104.8,105.8,100.6,97.8,124800,125200,123200,127800,103100,128300
Dec 2006,105.4,105.6,105.3,106.1,99.9,97.7,125100,125600,123800,128200,102400,128200
Jan 2007,106.1,106.2,105.9,106.7,101.5,98,125900,126300,124500,128900,104000,128600
Feb 2007,106.7,106.8,106.5,107.3,103.1,98.3,126700,127000,125200,129600,105700,129000
Mar 2007,107.2,107.4,107.1,107.8,104.8,98.7,127200,127700,125900,130200,107400,129500
Apr 2007,108,108.2,108,108.4,106.5,99,128200,128600,127000,130900,109200,129900
May 2007,108.8,108.9,108.9,109,108.2,99.3,129100,129500,128100,131700,110900,130300
Jun 2007,109.6,109.7,109.8,109.6,109.9,99.7,130100,130400,129100,132400,112600,130800
Jul 2007,109.8,109.9,109.9,109.9,110,99.3,130300,130700,129200,132800,112800,130300
Aug 2007,110,110.1,109.9,110.3,110.1,99,130600,130900,129200,133200,112900,129900
Sep 2007,110.2,110.3,110,110.7,110.2,98.7,130800,131100,129400,133700,113000,129500
Oct 2007,110.6,110.7,110.4,111.1,110.3,98.4,131300,131600,129800,134200,113100,129100
Nov 2007,110.9,111,110.7,111.5,110.4,98,131600,132000,130200,134700,113200,128600
Dec 2007,111.3,111.4,111.1,111.9,110.5,97.7,132100,132500,130700,135200,113300,128200
Jan 2008,111.7,111.8,111.6,112.1,111.6,98.7,132600,132900,131200,135400,114400,129500
Feb 2008,112.1,112.2,112.1,112.3,112.7,99.7,133100,133400,131800,135700,115500,130800
Mar 2008,112.5,112.6,112.6,112.5,113.9,100.6,133500,133900,132400,135900,116700,132000
Apr 2008,112.8,112.9,113,112.7,115,101.6,133900,134200,132900,136100,117900,133300
May 2008,113.1,113.1,113.3,112.8,116.2,102.6,134200,134500,133200,136300,119100,134600
Jun 2008,113.4,113.3,113.6,113.1,117.4,103.7,134600,134700,133600,136600,120300,136100
Jul 2008,113.4,113.4,113.9,112.8,117.6,103.9,134600,134800,133900,136300,120500,136300
Aug 2008,113.5,113.5,114.2,112.6,117.8,104.2,134700,135000,134300,136000,120700,136700
Sep 2008,113.6,113.6,114.6,112.4,118,104.4,134800,135100,134800,135800,121000,137000
Oct 2008,113.6,113.6,114.6,112.2,118.2,104.6,134800,135100,134800,135500,121200,137200
Nov 2008,113.6,113.5,114.7,112,118.3,104.9,134800,135000,134900,135300,121300,137600
Dec 2008,113.5,113.5,114.8,111.8,118.5,105.1,134700,135000,135000,135100,121500,137900
Jan 2009,113.6,113.5,114.8,112,118.2,105.1,134800,135000,135000,135300,121200,137900
Feb 2009,114,113.8,114.4,113.2,120.5,104.4,135300,135300,134500,136700,123500,137000
Mar 2009,114.5,114.4,114.8,113.9,121.8,104.8,135900,136000,135000,137600,124800,137500
Apr 2009,114.7,114.6,114.9,114.2,121.2,101.9,136100,136300,135100,138000,124200,133700
May 2009,114.5,114.4,114.5,114.3,124,98.5,135900,136000,134700,138100,127100,129200
Jun 2009,115.2,115.1,115.1,115.2,123.2,98.7,136700,136900,135400,139200,126300,129500
Jul 2009,116.8,116.7,116.3,117.3,122,99.6,138600,138800,136800,141700,125100,130700
Aug 2009,117.4,117.4,117.5,117.3,119.8,101.9,139400,139600,138200,141700,122800,133700
Sep 2009,117.9,118,117.7,118.3,118.9,101.3,139900,140300,138400,142900,121900,132900
Oct 2009,118.5,118.6,118.8,118.4,119.1,101,140700,141000,139700,143000,122100,132500
Nov 2009,119.4,119.5,120.3,118.5,122.6,102.2,141700,142100,141500,143100,125700,134100
Dec 2009,119.6,119.7,121,118.1,122.1,101.2,142000,142300,142300,142700,125200,132800
Jan 2010,119.7,119.7,120.7,118.5,122.3,101.5,142100,142300,141900,143100,125400,133200
Feb 2010,119.8,119.8,120.7,118.8,122.3,98.6,142200,142400,141900,143500,125400,129400
Mar 2010,119.7,119.7,120.2,119.1,123.2,98.1,142100,142300,141400,143900,126300,128700
Apr 2010,120.1,120.1,121,119.1,123,98.6,142600,142800,142300,143900,126100,129400
May 2010,120.4,120.4,121.2,119.5,122.9,99.4,142900,143200,142500,144400,126000,130400
Jun 2010,121.6,121.7,123,120,124.8,99.9,144300,144700,144600,145000,127900,131100
Jul 2010,121.9,122,123.3,120.4,123.6,101.7,144700,145100,145000,145400,126700,133400
Aug 2010,122.2,122.4,123.4,121.1,124,102.3,145100,145500,145100,146300,127100,134200
Sep 2010,123.4,123.5,125,121.7,125.5,102.4,146500,146800,147000,147000,128600,134300
Oct 2010,123.8,124,125.6,122.1,123.5,102.1,147000,147400,147700,147500,126600,134000
Nov 2010,124.1,124.2,126.1,122,126.2,103,147300,147700,148300,147400,129400,135100
Dec 2010,124,124.1,125.4,122.6,125.3,100.4,147200,147600,147500,148100,128400,131700
Jan 2011,123.7,123.9,125.4,122.2,124.6,101.8,146800,147300,147500,147600,127700,133600
Feb 2011,123.4,123.5,124.4,122.6,125.4,102.8,146500,146800,146300,148100,128500,134900
Mar 2011,123.7,123.8,124.8,122.7,125.1,105.7,146800,147200,146800,148200,128200,138700
