Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,192100,200100,165400,245200,178600,163300
Feb 2005,101.3,101.3,101.6,100.9,104.7,100.9,194600,202700,168000,247400,187000,164800
Mar 2005,102.4,102.6,103.1,102,104.6,101.4,196700,205300,170500,250100,186800,165600
Apr 2005,103.2,103.4,104.1,102.5,105.7,102.1,198200,206900,172200,251300,188800,166700
May 2005,103.6,103.9,104.7,102.8,104.9,102.4,199000,207900,173200,252100,187400,167200
Jun 2005,103.9,104.2,105.3,102.7,107.1,102.7,199600,208500,174200,251800,191300,167700
Jul 2005,104.1,104.3,105.6,102.6,108.5,103.1,200000,208700,174700,251600,193800,168400
Aug 2005,104.6,104.8,106.1,103.2,110.1,103.4,200900,209700,175500,253000,196600,168900
Sep 2005,105.5,105.8,107.2,103.9,110.6,104,202700,211700,177300,254800,197500,169800
Oct 2005,106.1,106.4,108,104.3,108.7,104.9,203800,212900,178600,255700,194100,171300
Nov 2005,106.5,106.9,108.6,104.7,109.6,105,204600,213900,179600,256700,195700,171500
Dec 2005,106.6,107.1,109,104.8,107.9,104.4,204800,214300,180300,257000,192700,170500
Jan 2006,107.5,108.2,110.1,105.9,108.2,104.9,206500,216500,182100,259700,193200,171300
Feb 2006,108.4,109.2,111,106.9,110.6,105.7,208200,218500,183600,262100,197500,172600
Mar 2006,109.1,109.7,111.7,107.2,112.4,106.7,209600,219500,184800,262900,200700,174200
Apr 2006,109.6,110.2,112.2,107.7,113.2,107.4,210500,220500,185600,264100,202200,175400
May 2006,110.3,110.8,113,108.1,113.9,108.2,211900,221700,186900,265100,203400,176700
Jun 2006,111,111.7,113.7,109.3,114.9,108.5,213200,223500,188100,268000,205200,177200
Jul 2006,111.4,112.2,114.5,109.4,114.7,108.6,214000,224500,189400,268200,204900,177300
Aug 2006,111.8,112.6,114.9,109.8,114,109.3,214800,225300,190000,269200,203600,178500
Sep 2006,112.2,113,115.3,110,113.2,109.5,215500,226100,190700,269700,202200,178800
Oct 2006,113,113.9,115.9,111.4,115.7,109.8,217100,227900,191700,273200,206600,179300
Nov 2006,113.4,114.6,116.7,112.1,118.1,109.3,217800,229300,193000,274900,210900,178500
Dec 2006,113.6,115,117.7,111.6,118.2,108.6,218200,230100,194700,273600,211100,177300
Jan 2007,114.2,115.4,118.2,112.1,119.6,109.8,219400,230900,195500,274900,213600,179300
Feb 2007,114.9,116.1,118.7,112.8,117.3,111,220700,232300,196300,276600,209500,181300
Mar 2007,115.6,116.6,119.3,113.4,119.2,112.3,222100,233300,197300,278100,212900,183400
Apr 2007,116.3,117.2,120.1,113.7,121.4,113.1,223400,234500,198600,278800,216800,184700
May 2007,117,118,120.9,114.5,123.7,113.7,224800,236100,200000,280800,220900,185700
Jun 2007,117.9,119,122,115.5,124.3,113.9,226500,238100,201800,283200,222000,186000
Jul 2007,119.1,120.4,123.3,116.9,125.7,114.6,228800,240900,203900,286600,224500,187100
Aug 2007,119.5,120.9,124.4,116.8,123.2,115,229600,241900,205800,286400,220000,187800
Sep 2007,119.9,121.1,124.3,117.2,126.9,115.8,230300,242300,205600,287400,226600,189100
Oct 2007,120.3,121.5,124.6,117.9,126,116.3,231100,243100,206100,289100,225000,189900
Nov 2007,120.7,122,125,118.6,126.7,116.5,231900,244100,206800,290800,226300,190200
Dec 2007,121,122.4,125.2,119.2,130.7,116.2,232400,244900,207100,292300,233400,189800
Jan 2008,121.6,123.1,126,119.7,133.6,116.4,233600,246300,208400,293500,238600,190100
Feb 2008,123.1,124.7,127.6,121.3,134.7,117.7,236500,249500,211100,297400,240600,192200
Mar 2008,124,125.7,128.6,122.3,134.1,118.4,238200,251500,212700,299900,239500,193300
Apr 2008,124.7,126.4,129.1,123.2,134.9,119.3,239500,252900,213500,302100,240900,194800
May 2008,125.4,126.8,129.6,123.4,135.8,120.8,240900,253700,214400,302600,242500,197300
Jun 2008,126.2,127.5,130.3,124.2,136.6,122,242400,255100,215500,304500,244000,199200
Jul 2008,127.1,128.2,131,124.9,136.5,123.5,244200,256500,216700,306300,243800,201700
Aug 2008,128.1,129.4,132.2,126.2,138.4,123.6,246100,258900,218700,309400,247200,201800
Sep 2008,128.5,129.9,132.4,127,137.4,124.1,246800,259900,219000,311400,245400,202700
Oct 2008,128.7,130.3,133.2,126.9,140.9,123.6,247200,260700,220300,311200,251600,201800
Nov 2008,128.7,130.3,133.5,126.6,141.5,123.7,247200,260700,220800,310400,252700,202000
Dec 2008,128.5,129.8,133.3,125.8,146.4,124.2,246800,259700,220500,308500,261500,202800
Jan 2009,128.6,129.8,132.7,126.4,141.4,124.8,247000,259700,219500,309900,252500,203800
Feb 2009,128.6,129.7,132.7,126.2,138.3,124.9,247000,259500,219500,309400,247000,204000
Mar 2009,128.4,129.5,132.5,125.9,134.7,125.3,246700,259100,219200,308700,240600,204600
Apr 2009,128.7,129.7,132.8,126,137.9,125.6,247200,259500,219700,309000,246300,205100
May 2009,129,129.8,132.8,126.3,138,126.3,247800,259700,219700,309700,246500,206200
Jun 2009,129.4,130.2,132.8,127.2,141.1,126.8,248600,260500,219700,311900,252000,207100
Jul 2009,130.1,130.9,133.6,127.7,141.5,127.6,249900,261900,221000,313100,252700,208400
Aug 2009,130.8,131.7,134.4,128.6,142.4,128,251300,263500,222300,315300,254300,209000
Sep 2009,131.4,132.5,135.5,129.1,139.4,128.2,252400,265100,224100,316600,249000,209400
Oct 2009,132.3,133.4,136.6,129.6,140.2,129,254100,266900,225900,317800,250400,210700
Nov 2009,133,134.1,137,130.8,139.4,129.9,255500,268300,226600,320700,249000,212100
Dec 2009,133.5,134.5,137,131.7,143.4,130.5,256500,269100,226600,322900,256100,213100
Jan 2010,134.7,135.7,138.2,132.9,148,131.5,258800,271500,228600,325900,264300,214700
Feb 2010,136.8,137.7,140.3,134.6,151.4,134.1,262800,275500,232100,330000,270400,219000
Mar 2010,138.6,139.4,142.1,136.3,152.1,136,266300,278900,235000,334200,271700,222100
Apr 2010,139.7,140.4,143.1,137.3,156.4,137.1,268400,280900,236700,336700,279300,223900
May 2010,140.7,141.5,144.1,138.6,156.2,137.9,270300,283100,238300,339800,279000,225200
Jun 2010,141.2,142,144.6,139,157.4,138.7,271200,284100,239200,340800,281100,226500
Jul 2010,141.6,142.5,145.2,139.2,153.9,139.2,272000,285100,240200,341300,274900,227300
