Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,382100,543900,438100,606300,309400,248700
Feb 2005,100.6,100.4,100.4,100.4,100.4,100.8,384400,546100,439900,608700,310600,250700
Mar 2005,101.1,100.8,100.8,100.8,100.8,101.5,386300,548300,441600,611200,311900,252400
Apr 2005,101.6,101.2,101.2,101.1,101.3,102.1,388200,550400,443400,613000,313400,253900
May 2005,103.1,102.4,102.5,102.3,102.6,103.9,393900,557000,449100,620200,317400,258400
Jun 2005,104.7,103.6,103.8,103.4,103.9,106,400100,563500,454700,626900,321500,263600
Jul 2005,106.1,105,105.3,104.7,105.1,107.7,405400,571100,461300,634800,325200,267800
Aug 2005,107.5,106.4,106.9,106,106.2,109,410800,578700,468300,642700,328600,271100
Sep 2005,109.3,107.8,108.5,107.4,107.4,111.4,417600,586300,475300,651200,332300,277100
Oct 2005,110,108.6,109.2,108.2,108.4,111.9,420300,590700,478400,656000,335400,278300
Nov 2005,110.8,109.4,109.9,109.1,109.3,112.7,423400,595000,481500,661500,338200,280300
Dec 2005,111.7,110.2,110.6,109.9,110.3,113.7,426800,599400,484500,666300,341300,282800
Jan 2006,113.8,112.3,112.8,112.1,112.2,115.7,434800,610800,494200,679700,347100,287700
Feb 2006,116.2,114.5,115,114.3,114.1,118.5,444000,622800,503800,693000,353000,294700
Mar 2006,118.3,116.8,117.2,116.5,116,120.5,452000,635300,513500,706300,358900,299700
Apr 2006,120.8,119,119.5,118.7,118.2,123.4,461600,647200,523500,719700,365700,306900
May 2006,123.2,121.2,121.8,120.9,120.5,126.1,470700,659200,533600,733000,372800,313600
Jun 2006,125.2,123.6,124.2,123.2,122.8,127.7,478400,672300,544100,747000,379900,317600
Jul 2006,126.2,124.3,124.8,124,124,128.9,482200,676100,546700,751800,383700,320600
Aug 2006,127.4,125,125.4,124.8,125.3,130.4,486800,679900,549400,756700,387700,324300
Sep 2006,128.3,125.7,126,125.6,126.6,131.4,490200,683700,552000,761500,391700,326800
Oct 2006,128.3,125.8,125.9,125.7,126.8,131.2,490200,684200,551600,762100,392300,326300
Nov 2006,128.3,125.8,125.9,125.8,127,131.2,490200,684200,551600,762700,392900,326300
Dec 2006,128,125.9,125.9,125.9,127.2,130.3,489100,684800,551600,763300,393600,324100
Jan 2007,129.8,127.5,127.4,127.5,128.2,132.5,496000,693500,558100,773000,396700,329500
Feb 2007,131.2,129.1,128.9,129.2,129.3,133.9,501300,702200,564700,783300,400100,333000
Mar 2007,132.5,130.8,130.5,130.9,130.3,135.1,506300,711400,571700,793600,403100,336000
Apr 2007,134.5,132.9,132.6,133,131.8,137.1,513900,722800,580900,806400,407800,341000
May 2007,136.4,135,134.8,135.2,133.2,138.9,521200,734300,590600,819700,412100,345400
Jun 2007,138.2,137.2,137,137.3,134.7,140.4,528100,746200,600200,832400,416800,349200
Jul 2007,139.4,138.1,137.8,138.3,135.8,142,532600,751100,603700,838500,420200,353200
Aug 2007,140.8,139.1,138.7,139.4,136.8,143.9,538000,756600,607600,845200,423300,357900
Sep 2007,141.9,140.1,139.5,140.4,137.9,145.2,542200,762000,611100,851200,426700,361100
