Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,354600,473300,380900,544100,276300,229000
Feb 2005,100.5,100.4,100.4,100.4,100.4,100.7,356400,475200,382400,546300,277400,230600
Mar 2005,101,100.8,100.8,100.7,100.7,101.4,358100,477100,383900,547900,278200,232200
Apr 2005,101.4,101.1,101.2,101.1,101.1,102,359600,478500,385500,550100,279300,233600
May 2005,102.8,102.3,102.5,102.1,102.1,103.8,364500,484200,390400,555500,282100,237700
Jun 2005,104.3,103.5,103.8,103.2,103.2,105.8,369800,489900,395400,561500,285100,242300
Jul 2005,105.7,104.9,105.3,104.5,104.4,107.5,374800,496500,401100,568600,288500,246200
Aug 2005,107.1,106.3,106.8,105.8,105.7,108.9,379800,503100,406800,575700,292000,249400
Sep 2005,108.8,107.7,108.4,107.1,106.9,111.1,385800,509700,412900,582700,295400,254400
Oct 2005,109.6,108.5,109.2,108,107.9,111.9,388600,513500,415900,587600,298100,256300
Nov 2005,110.5,109.4,110.1,108.9,108.9,112.8,391800,517800,419400,592500,300900,258300
Dec 2005,111.5,110.3,110.9,109.8,109.9,113.9,395400,522000,422400,597400,303700,260800
Jan 2006,113.5,112.3,112.9,111.8,111.8,115.9,402500,531500,430000,608300,308900,265400
Feb 2006,115.7,114.3,114.9,113.9,113.7,118.6,410300,541000,437700,619700,314200,271600
Mar 2006,117.8,116.4,117,116,115.7,120.7,417700,550900,445700,631200,319700,276400
Apr 2006,120.3,118.6,119.3,118.1,118.1,123.7,426600,561300,454400,642600,326300,283300
May 2006,122.8,120.9,121.7,120.2,120.4,126.6,435400,572200,463600,654000,332700,289900
Jun 2006,125,123.2,124.2,122.4,122.8,128.6,443300,583100,473100,666000,339300,294500
Jul 2006,126.3,124.2,125.3,123.4,124.1,130.1,447900,587800,477300,671400,342900,297900
Aug 2006,127.6,125.3,126.4,124.5,125.5,131.7,452500,593000,481500,677400,346800,301600
Sep 2006,128.8,126.4,127.5,125.5,126.8,132.9,456700,598300,485600,682800,350300,304300
Oct 2006,128.8,126.6,127.6,125.8,127.1,132.8,456700,599200,486000,684500,351200,304100
Nov 2006,129,126.7,127.7,126,127.4,132.7,457400,599700,486400,685600,352000,303900
Dec 2006,128.9,126.9,127.8,126.2,127.8,132.1,457100,600600,486800,686700,353100,302500
Jan 2007,130.5,128.2,129,127.6,128.8,134.3,462800,606800,491400,694300,355900,307500
Feb 2007,131.8,129.6,130.3,129.1,129.8,135.8,467400,613400,496300,702400,358600,311000
Mar 2007,133.2,131.1,131.7,130.6,130.8,137.2,472300,620500,501600,710600,361400,314200
Apr 2007,134.9,132.8,133.4,132.3,132.2,139.1,478400,628500,508100,719800,365300,318500
May 2007,136.6,134.6,135.2,134.1,133.5,140.9,484400,637100,515000,729600,368900,322700
Jun 2007,138.3,136.4,137,136,134.9,142.5,490400,645600,521800,740000,372700,326300
Jul 2007,139.4,137.2,137.8,136.8,135.9,143.9,494300,649400,524900,744300,375500,329500
Aug 2007,140.5,138,138.5,137.6,136.8,145.7,498200,653200,527500,748700,378000,333700
Sep 2007,141.5,138.9,139.3,138.5,137.8,146.9,501800,657400,530600,753600,380700,336400
Oct 2007,142,139.1,139.5,138.8,138.2,147.7,503500,658400,531400,755200,381800,338200
Nov 2007,142.5,139.4,139.7,139.1,138.6,148.5,505300,659800,532100,756800,383000,340100
Dec 2007,142.8,139.6,139.8,139.4,139,149.1,506400,660700,532500,758500,384100,341400
Jan 2008,144,140.9,141,140.7,140.2,150,510600,666900,537100,765500,387400,343500
Feb 2008,145.3,142.1,142.2,142.1,141.4,151.5,515200,672600,541600,773200,390700,346900
Mar 2008,146.5,143.4,143.4,143.4,142.6,152.6,519500,678700,546200,780200,394000,349500
Apr 2008,146.9,143.8,143.7,143.8,143.1,152.8,520900,680600,547400,782400,395400,349900
May 2008,147.1,144.1,144,144.1,143.6,152.7,521600,682000,548500,784000,396800,349700
Jun 2008,147.4,144.5,144.4,144.5,144.1,153,522700,683900,550000,786200,398100,350400
Jul 2008,145.3,142.6,142.3,142.8,142.8,150.2,515200,674900,542000,777000,394600,344000
Aug 2008,143.7,140.7,140.2,141,141.5,148.9,509600,665900,534000,767200,391000,341000
Sep 2008,142.1,138.9,138.2,139.3,140.2,147.2,503900,657400,526400,757900,387400,337100
Oct 2008,138.6,135.5,134.8,135.9,137.2,143.3,491500,641300,513500,739400,379100,328200
Nov 2008,135.1,132.1,131.4,132.7,134.2,139.4,479100,625200,500500,722000,370800,319200
Dec 2008,131.7,128.9,128.2,129.5,131.3,135.5,467000,610100,488300,704600,362800,310300
Jan 2009,130.6,127.9,127.3,128.2,129.8,134.4,463100,605400,484900,697500,358600,307800
Feb 2009,129.3,126.8,126.5,127,128.4,132.9,458500,600100,481800,691000,354800,304300
Mar 2009,128.1,125.8,125.6,125.9,127,131.7,454200,595400,478400,685000,350900,301600
Apr 2009,129.5,127,126.7,127.2,127.9,133.5,459200,601100,482600,692100,353400,305700
May 2009,131,128.2,127.7,128.6,128.9,135.6,464500,606800,486400,699700,356200,310500
Jun 2009,132.5,129.5,128.8,129.9,129.9,137.6,469800,612900,490600,706800,358900,315100
Jul 2009,134.5,131.6,130.8,132.1,131.4,139.6,476900,622900,498200,718800,363100,319700
Aug 2009,136.4,133.8,132.9,134.3,133,141.5,483700,633300,506200,730700,367500,324000
Sep 2009,138.5,136,135,136.6,134.6,143.7,491100,643700,514200,743200,371900,329100
Oct 2009,139.6,137.5,136.4,138.1,135.7,144.3,495000,650800,519500,751400,374900,330400
Nov 2009,141.1,138.9,137.9,139.6,136.9,145.8,500300,657400,525300,759600,378300,333900
Dec 2009,142.4,140.5,139.4,141.2,137.9,147.1,505000,665000,531000,768300,381000,336900
Jan 2010,143.9,142.7,141.1,143.7,139,147.8,510300,675400,537400,781900,384100,338500
Feb 2010,145.5,144.5,142.9,145.7,140.2,149.2,515900,683900,544300,792800,387400,341700
Mar 2010,146.9,146.6,144.4,148.1,141.8,149.8,520900,693900,550000,805800,391800,343000
Apr 2010,147.8,147.8,145.6,149.3,142.4,150.4,524100,699500,554600,812300,393500,344400
May 2010,147.7,148.3,146.2,149.6,142.8,149.4,523700,701900,556900,814000,394600,342100
Jun 2010,147.1,147.8,145.8,149.2,142.7,148.4,521600,699500,555400,811800,394300,339800
Jul 2010,145.9,146.8,144.6,148.2,142.1,146.5,517400,694800,550800,806400,392600,335500
Aug 2010,145,145.9,143.2,147.6,141.2,145.8,514200,690500,545400,803100,390100,333900
Sep 2010,144.4,145.3,142.6,147.1,140.6,145.1,512000,687700,543200,800400,388500,332300
Oct 2010,144.1,145,142.3,146.8,140.1,144.8,511000,686300,542000,798700,387100,331600
Nov 2010,144.2,145.4,142.4,147.4,139.9,144.7,511300,688200,542400,802000,386500,331400
Dec 2010,143.9,145,141.7,147.2,140.4,144.1,510300,686300,539700,800900,387900,330000
Jan 2011,144.9,147.1,143.2,149.6,140.5,144.2,513800,696200,545400,814000,388200,330200
Feb 2011,145.8,148.5,144.5,151.1,141.3,144.5,517000,702900,550400,822100,390400,330900
