Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,223400,238300,212000,250400,157100,181900
Feb 2005,100.4,100.5,100.5,100.5,100.5,100,224300,239500,213100,251700,157900,181900
Mar 2005,100.9,101,101.1,100.9,101,100.1,225400,240700,214300,252700,158700,182100
Apr 2005,101.4,101.6,101.9,101.5,101.1,100.3,226500,242100,216000,254200,158800,182400
May 2005,102,102.3,102.6,102.1,101.2,100.4,227900,243800,217500,255700,159000,182600
Jun 2005,102.5,102.9,103.4,102.7,101.4,100.6,229000,245200,219200,257200,159300,183000
Jul 2005,102.4,102.8,103.3,102.6,101.4,100.5,228800,245000,219000,256900,159300,182800
Aug 2005,102.3,102.7,103.2,102.4,101.4,100.4,228500,244700,218800,256400,159300,182600
Sep 2005,102.2,102.5,103.1,102.3,101.5,100.3,228300,244300,218600,256200,159500,182400
Oct 2005,102.3,102.6,103.4,102.2,101.3,100.5,228500,244500,219200,255900,159100,182800
Nov 2005,102.3,102.7,103.6,102.2,101.1,100.7,228500,244700,219600,255900,158800,183200
Dec 2005,102.4,102.7,103.9,102.2,100.9,100.9,228800,244700,220300,255900,158500,183500
Jan 2006,103.1,103.5,104.3,103.2,101.3,101.1,230300,246600,221100,258400,159100,183900
Feb 2006,103.8,104.4,104.8,104.2,101.6,101.3,231900,248800,222200,260900,159600,184300
Mar 2006,104.5,105.2,105.2,105.2,101.9,101.5,233500,250700,223000,263400,160100,184600
Apr 2006,105.2,105.9,106.1,105.8,102.5,101.9,235000,252400,224900,264900,161000,185400
May 2006,105.8,106.6,107,106.4,103.1,102.3,236400,254000,226800,266400,162000,186100
Jun 2006,106.5,107.3,107.9,107.1,103.7,102.7,237900,255700,228700,268200,162900,186800
