Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,107100,109800,101200,135600,97600,74300
Feb 2005,101.4,101.4,101.2,102.2,101.7,101.5,108600,111300,102400,138600,99300,75400
Mar 2005,103,103,102.8,103.7,101.3,103.6,110300,113100,104000,140600,98900,77000
Apr 2005,105.3,105.5,105.1,107,102.1,104.2,112800,115800,106400,145100,99600,77400
May 2005,107.3,107.7,107.1,109.3,103.8,103.6,114900,118300,108400,148200,101300,77000
Jun 2005,108.3,109,108.3,111,104,102,116000,119700,109600,150500,101500,75800
Jul 2005,108.1,108.8,109.5,106.3,103,103,115800,119500,110800,144100,100500,76500
Aug 2005,107.8,108.2,109.6,103.9,103.4,105.8,115500,118800,110900,140900,100900,78600
Sep 2005,107.4,107.6,109.8,100.7,103.3,106.8,115000,118100,111100,136500,100800,79400
Oct 2005,107.1,107.1,109.2,100.4,103.7,109,114700,117600,110500,136100,101200,81000
Nov 2005,108.2,107.9,108.6,105.9,104.1,114,115900,118500,109900,143600,101600,84700
Dec 2005,105,103.8,102.4,108,106.2,119,112500,114000,103600,146400,103700,88400
Jan 2006,108.3,107.6,105.8,113.2,106.8,117.6,116000,118100,107100,153500,104200,87400
Feb 2006,109.9,109.4,107.5,115.1,109.7,117.3,117700,120100,108800,156100,107100,87200
Mar 2006,112.3,112,110.5,116.7,111,116.2,120300,123000,111800,158200,108300,86300
Apr 2006,113,112.4,111.6,114.9,112.2,121.4,121000,123400,112900,155800,109500,90200
May 2006,114.1,113.7,113,115.9,114.9,119,122200,124800,114400,157200,112100,88400
Jun 2006,115.4,114.9,115.2,113.8,115.7,121.2,123600,126200,116600,154300,112900,90100
Jul 2006,116.5,116.3,116,117.3,114.5,119.5,124800,127700,117400,159100,111800,88800
Aug 2006,116,115.4,115.2,116.1,115.1,123.6,124200,126700,116600,157400,112300,91800
Sep 2006,115.7,115,114.4,116.9,115.7,123.8,123900,126300,115800,158500,112900,92000
Oct 2006,116,115.6,115.3,116.8,113.6,122.1,124200,126900,116700,158400,110900,90700
Nov 2006,117.7,117.5,116.5,120.7,113.8,121.7,126100,129000,117900,163700,111100,90400
Dec 2006,115.9,115.6,114.6,118.8,112.2,121.2,124100,126900,116000,161100,109500,90100
Jan 2007,118.7,118.5,117.8,120.6,116,123.7,127100,130100,119200,163500,113200,91900
Feb 2007,122.7,122.7,122.5,123.1,116.2,126.7,131400,134700,124000,166900,113400,94100
Mar 2007,130.7,130.8,131.2,129.6,117.1,138.2,140000,143600,132800,175700,114300,102700
Apr 2007,139.8,139.1,139.1,139.1,122.6,157.3,149700,152700,140800,188600,119700,116900
May 2007,151.8,151.3,151.9,149.6,129.1,169.5,162600,166100,153700,202900,126000,125900
Jun 2007,162,162.3,164,157,131.9,174.7,173500,178200,166000,212900,128700,129800
Jul 2007,173,173.1,175.1,166.4,137,192.8,185300,190100,177200,225600,133700,143300
Aug 2007,180.2,179.1,180.7,173.9,158.5,203,193000,196700,182900,235800,154700,150800
Sep 2007,181.8,179.9,180.9,176.5,175.9,206.3,194700,197500,183100,239300,171700,153300
Oct 2007,183.4,180.9,181.7,178.5,184.1,209.5,196400,198600,183900,242000,179700,155700
Nov 2007,184.7,182,182.5,180.2,198.2,207.4,197800,199800,184700,244400,193400,154100
Dec 2007,186,184.2,182.6,189.3,189.9,202.7,199200,202300,184800,256700,185300,150600
Jan 2008,196.6,196,193.5,203.9,184.1,209,210600,215200,195800,276500,179700,155300
Feb 2008,217.8,218.8,218.3,220.6,199.7,215.9,233300,240200,220900,299100,194900,160400
