Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,133400,141000,131600,168000,121800,86700
Feb 2005,100.6,100.6,100.9,99.7,99.8,101.3,134200,141800,132800,167500,121600,87800
Mar 2005,101.3,101.2,101.8,99.5,99.6,102.6,135100,142700,134000,167200,121300,89000
Apr 2005,102,101.9,102.4,100.4,100.9,103.3,136100,143700,134800,168700,122900,89600
May 2005,102.8,102.6,103.1,101.2,102.3,104,137100,144700,135700,170000,124600,90200
Jun 2005,103.6,103.4,103.8,102.1,103.6,104.8,138200,145800,136600,171500,126200,90900
Jul 2005,104.2,104.1,104.4,103.1,104.7,104.6,139000,146800,137400,173200,127500,90700
Aug 2005,104.8,104.8,105,104.2,105.8,104.3,139800,147800,138200,175100,128900,90400
Sep 2005,105.4,105.5,105.6,105.2,106.9,104.1,140600,148800,139000,176700,130200,90300
Oct 2005,105.4,105.2,105.2,105,106.8,105.9,140600,148300,138400,176400,130100,91800
Nov 2005,105.3,104.8,104.8,104.9,106.7,107.6,140500,147800,137900,176200,130000,93300
Dec 2005,105.2,104.4,104.4,104.7,106.6,109.4,140300,147200,137400,175900,129800,94800
Jan 2006,106.6,105.9,106,105.8,106.9,110.7,142200,149300,139500,177700,130200,96000
Feb 2006,108,107.5,107.7,106.9,107.2,111.9,144100,151600,141700,179600,130600,97000
Mar 2006,109.4,109,109.3,108,107.6,113.1,145900,153700,143800,181400,131100,98100
Apr 2006,111,110.6,110.7,110.1,108.5,114.9,148100,155900,145700,185000,132200,99600
May 2006,112.6,112.2,112.2,112.2,109.5,116.7,150200,158200,147700,188500,133400,101200
Jun 2006,114.2,113.8,113.6,114.3,110.6,118.6,152300,160500,149500,192000,134700,102800
Jul 2006,115.5,115.1,115.1,115.1,113.3,119,154100,162300,151500,193400,138000,103200
Aug 2006,116.9,116.5,116.7,115.8,116.1,119.6,155900,164300,153600,194500,141400,103700
Sep 2006,118.2,117.9,118.3,116.6,118.9,120,157700,166200,155700,195900,144800,104000
Oct 2006,119.6,118.9,119.2,118,120.6,122.9,159500,167600,156900,198200,146900,106600
Nov 2006,120.9,120,120.2,119.5,122.3,125.8,161300,169200,158200,200800,149000,109100
Dec 2006,122.3,121.1,121.1,121,124.1,128.8,163100,170800,159400,203300,151200,111700
Jan 2007,125.8,124.4,124.6,123.7,126.9,133.9,167800,175400,164000,207800,154600,116100
Feb 2007,132.1,131,131.3,130.1,131.4,139.4,176200,184700,172800,218600,160000,120900
Mar 2007,142.3,139.4,140.4,136.9,150.8,155.6,189800,196600,184800,230000,183700,134900
Apr 2007,156.6,150.5,151.8,146.7,170.1,186.5,208900,212200,199800,246500,207200,161700
May 2007,173.2,166.5,168.2,161.9,179.3,209.3,231000,234800,221400,272000,218400,181500
Jun 2007,185.6,178.4,180,174.3,190,225.6,247600,251500,236900,292800,231400,195600
Jul 2007,192.2,185.3,187.4,179.9,196.9,230.7,256400,261300,246600,302200,239800,200000
Aug 2007,195.6,188.7,191.3,182.1,200.5,233.6,260900,266100,251800,305900,244200,202500
Sep 2007,194.8,188.1,190.4,182.2,204.2,229.3,259900,265200,250600,306100,248700,198800
Oct 2007,195.1,188.8,191.7,180.9,199.7,230.1,260300,266200,252300,303900,243200,199500
Nov 2007,194.2,188.8,190.9,183.2,196.3,224.7,259100,266200,251200,307800,239100,194800
Dec 2007,196.9,191.9,195.4,182.6,193.6,227.2,262700,270600,257100,306800,235800,197000
Jan 2008,201.9,196.8,199.9,188.7,196.9,232.7,269300,277500,263100,317000,239800,201800
Feb 2008,211.6,207.7,210.4,200.7,201.9,237.3,282300,292900,276900,337200,245900,205700
Mar 2008,221.4,217.2,221,207.6,213.7,246.4,295300,306300,290800,348800,260300,213600
Apr 2008,228.8,223.7,227.7,213.7,217.7,259.9,305200,315400,299700,359000,265200,225300
May 2008,231.5,226.6,230.8,216.1,218.6,262.4,308800,319500,303700,363000,266300,227500
Jun 2008,230.3,224.5,230.1,210.7,212.3,267.8,307200,316500,302800,354000,258600,232200
Jul 2008,225.6,219.8,226.3,204.1,209.7,262,301000,309900,297800,342900,255400,227200
Aug 2008,221.7,215.6,221,202.3,207.1,259.4,295700,304000,290800,339900,252200,224900
Sep 2008,213.9,207.6,211.6,197.9,205.8,249.2,285300,292700,278500,332500,250700,216100
Oct 2008,207.2,201,204.2,193.2,198.8,242.4,276400,283400,268700,324600,242100,210200
Nov 2008,200.4,195.4,197.7,189.6,194,228.4,267300,275500,260200,318500,236300,198000
Dec 2008,194.9,192,193.3,188.8,184.2,214.5,260000,270700,254400,317200,224400,186000
Jan 2009,194,191.7,194.5,184.9,181.7,211.1,258800,270300,256000,310600,221300,183000
Feb 2009,194,191.4,194.7,183.5,180,213.6,258800,269900,256200,308300,219200,185200
Mar 2009,194.5,191.4,196,180.5,179,217,259500,269900,257900,303200,218000,188100
Apr 2009,194.6,191.4,195.5,181.4,177.3,218.3,259600,269900,257300,304800,216000,189300
May 2009,195.1,192.4,196.4,182.6,177.1,216.9,260300,271300,258500,306800,215700,188100
Jun 2009,195,192.6,196.1,184,178.1,215.4,260100,271600,258100,309100,216900,186800
Jul 2009,195.6,193,197.4,182.5,180.1,216,260900,272100,259800,306600,219400,187300
Aug 2009,197.3,194.6,198.1,186.3,181.9,218.4,263200,274400,260700,313000,221600,189400
Sep 2009,198.6,195.9,199.8,186.6,183.8,219.1,264900,276200,262900,313500,223900,190000
Oct 2009,199.6,197.6,201.4,188.3,186,216.2,266300,278600,265000,316300,226500,187400
Nov 2009,199.5,196.8,200.7,187.4,189.4,217.3,266100,277500,264100,314800,230700,188400
Dec 2009,201.4,198,202.1,188,190.3,223.3,268700,279200,266000,315800,231800,193600
Jan 2010,204.5,200.5,204.5,190.8,193.5,228.9,272800,282700,269100,320500,235700,198500
Feb 2010,209,205.5,210.2,194,195,232,278800,289800,276600,325900,237500,201100
Mar 2010,212.5,210.1,214.5,199.3,197.5,231.3,283500,296200,282300,334800,240600,200500
Apr 2010,213.8,210.8,215.1,200.4,197.6,235.2,285200,297200,283100,336700,240700,203900
May 2010,213.5,210,214.1,200,200,235.6,284800,296100,281800,336000,243600,204300
Jun 2010,213.5,209.7,214.5,197.9,200,236.9,284800,295700,282300,332500,243600,205400
Jul 2010,213.2,209.1,214.2,196.7,199.3,237.8,284400,294800,281900,330500,242700,206200
Aug 2010,213.5,209.8,214.5,198.5,200.1,236.4,284800,295800,282300,333500,243700,205000
Sep 2010,211.9,207.7,211.7,198.2,200.7,235.5,282700,292900,278600,333000,244500,204200
Oct 2010,210.6,206.4,210.4,196.6,200.8,233.5,280900,291000,276900,330300,244600,202400
Nov 2010,207.3,203.3,207,194.6,197.6,228.8,276500,286700,272400,326900,240700,198400
Dec 2010,205.1,202.7,206.6,193.3,196.7,219.3,273600,285800,271900,324700,239600,190100
Jan 2011,207.7,205,208.1,197.6,197,224.4,277100,289100,273900,332000,239900,194600
Feb 2011,209.9,206.9,211.1,196.5,198.9,229.5,280000,291700,277800,330100,242300,199000
Mar 2011,211.7,209.2,212.7,200.8,198.7,230,282400,295000,279900,337300,242000,199400
Apr 2011,211.3,208.8,213,198.5,198.5,229.6,281900,294400,280300,333500,241800,199100
May 2011,211.2,208.5,212.4,199.2,198.9,230.5,281700,294000,279500,334700,242300,199800
Jun 2011,211.3,208.1,213,196.4,198.3,233.4,281900,293400,280300,330000,241500,202400
Jul 2011,211.7,208,213.9,193.9,198.2,236.6,282400,293300,281500,325800,241400,205100
Aug 2011,210.2,207,212.4,194.2,197.9,232.4,280400,291900,279500,326300,241000,201500
Sep 2011,210.6,207.5,213.3,193.7,197.5,232.7,280900,292600,280700,325400,240600,201800
Oct 2011,211.9,208.8,214.6,195,195.8,235.1,282700,294400,282400,327600,238500,203800
Nov 2011,211.9,208,214.8,192,197,238.5,282700,293300,282700,322600,239900,206800
Dec 2011,211.6,208,214.5,192.7,197.8,235.9,282300,293300,282300,323700,240900,204500
Jan 2012,212.1,208.7,214.6,195,198.5,235.1,282900,294300,282400,327600,241800,203800
Feb 2012,215.7,212.3,218.1,198.9,201,239.4,287700,299300,287000,334200,244800,207600
Mar 2012,217.5,214.2,220.4,199.6,202.3,241.3,290100,302000,290000,335300,246400,209200
Apr 2012,219,216.1,221.8,203,204,240.8,292100,304700,291900,341000,248500,208800
May 2012,221,218.4,224.3,205.2,204.1,242.9,294800,307900,295200,344700,248600,210600
Jun 2012,221.8,219.1,224.7,206.5,204.3,244.2,295900,308900,295700,346900,248800,211700
Jul 2012,222.3,219.8,226.4,205.3,204.4,244.3,296500,309900,297900,344900,249000,211800
Aug 2012,223.1,220,226.3,206.3,208.6,245.4,297600,310200,297800,346600,254100,212800
Sep 2012,223.4,220.6,226.4,207.9,209.3,244.5,298000,311000,297900,349300,254900,212000
Oct 2012,223.6,221.4,226,211.4,211.7,240.8,298300,312200,297400,355200,257900,208800
Nov 2012,222.4,220.4,225.4,209.8,211.5,238.2,296700,310800,296600,352500,257600,206500
Dec 2012,222.9,221,224.9,212.6,212.4,238.1,297300,311600,296000,357200,258700,206400
Jan 2013,222.6,220.9,225.4,211.6,211.1,237.4,296900,311500,296600,355500,257100,205800
Feb 2013,224.4,222.4,227.2,212.4,213.5,240.1,299300,313600,299000,356800,260000,208200
Mar 2013,226.6,225,229.6,215.4,212.5,242.7,302300,317300,302200,361900,258800,210400
Apr 2013,229.3,227.4,231.6,218.6,214.3,247.3,305900,320600,304800,367200,261000,214400
May 2013,230.7,228.6,233.2,219.3,215.3,250,307800,322300,306900,368400,262200,216800
Jun 2013,231.5,229.3,234.6,218.8,214.3,252.2,308800,323300,308700,367600,261000,218700
Jul 2013,231.8,229.6,235.5,217.8,215,252.8,309200,323700,309900,365900,261900,219200
Aug 2013,231.8,229.8,236.7,216,214.4,251.9,309200,324000,311500,362900,261100,218400
Sep 2013,234,232.1,238.1,219.9,217.2,253.6,312200,327300,313300,369400,264500,219900
Oct 2013,234.6,233,238.9,221,216.3,253.7,313000,328500,314400,371300,263500,220000
Nov 2013,231,229.4,236.4,215.2,215,248.5,308200,323500,311100,361500,261900,215400
Dec 2013,230.1,228.6,236.4,212.7,212.4,248.1,307000,322300,311100,357300,258700,215100
Jan 2014,230.7,230,237.8,214.1,215.1,243.7,307800,324300,312900,359700,262000,211300
Feb 2014,232.6,230.8,238.7,214.8,219.7,249,310300,325400,314100,360900,267600,215900
Mar 2014,233.4,231,238.1,216.5,219.9,253.6,311400,325700,313300,363700,267800,219900
Apr 2014,233.8,231.7,238.9,216.9,220.2,252.8,311900,326700,314400,364400,268200,219200
May 2014,233.9,232.5,240.1,217,216.4,251.8,312000,327800,316000,364600,263600,218300
Jun 2014,234.9,233.5,241.2,217.7,215.9,253.2,313400,329200,317400,365700,263000,219500
Jul 2014,234.9,233.6,241.2,218.1,215.6,253.4,313400,329400,317400,366400,262600,219700
Aug 2014,234.1,232.5,239.1,218.9,217.6,252.6,312300,327800,314700,367800,265000,219000
Sep 2014,233.4,231.7,238,218.7,217.5,251.5,311400,326700,313200,367400,264900,218100
Oct 2014,233.6,232.1,238.7,218.6,215.9,251.9,311600,327300,314100,367200,263000,218400
Nov 2014,233.1,231.2,238.5,216.3,217.9,251.5,311000,326000,313900,363400,265400,218100
Dec 2014,232.3,230.5,238.2,214.8,217.3,249.8,309900,325000,313500,360900,264700,216600
Jan 2015,232.1,230.6,237.2,216.9,216.1,249.7,309600,325100,312200,364400,263200,216500
Feb 2015,233,231.3,238.2,217.1,217,251.1,310800,326100,313500,364700,264300,217700
Mar 2015,232.9,231.2,238.3,216.4,215.2,252.3,310700,326000,313600,363600,262100,218700
Apr 2015,233.7,232.7,240.1,217.2,213.9,250.4,311800,328100,316000,364900,260500,217100
May 2015,234.9,233.7,240.1,220,213.7,253.5,313400,329500,316000,369600,260300,219800
Jun 2015,235,233.2,240.3,218,211.4,257.5,313500,328800,316200,366200,257500,223300
Jul 2015,235.2,233.4,240.8,217.6,214.3,255.9,313800,329100,316900,365600,261000,221900
Aug 2015,233.9,232.4,238.5,219.4,213.4,253.1,312000,327700,313900,368600,259900,219400
Sep 2015,232.7,231.9,237.9,219.2,209.7,249.5,310400,327000,313100,368300,255400,216300
Oct 2015,230.3,229.5,235.6,216.4,207.4,247.1,307200,323600,310000,363600,252600,214200
Nov 2015,228.8,228.3,234.6,214.9,208.1,242.3,305200,321900,308700,361000,253500,210100
Dec 2015,228.3,227.3,233,215,210.1,243.8,304600,320500,306600,361200,255900,211400
Jan 2016,227.2,226.8,231.1,217.7,209.1,239.1,303100,319800,304100,365700,254700,207300
Feb 2016,226.1,225.4,229.7,216,210.5,239,301600,317800,302300,362900,256400,207200
Mar 2016,226.6,226.4,230.8,217.1,212.5,235.4,302300,319200,303700,364700,258800,204100
Apr 2016,228.1,228.4,232.6,219.1,214.1,234.6,304300,322000,306100,368100,260800,203400
May 2016,229.5,229.9,233.9,221,219.7,232.8,306200,324200,307800,371300,267600,201800
Jun 2016,231.6,232.2,236.5,222.7,219.5,235.1,309000,327400,311200,374100,267400,203800
Jul 2016,231.6,232,236.8,221.5,220.2,236,309000,327200,311800,372200,268400,204700
Aug 2016,231.9,232.2,235.3,225.3,217.7,238.9,309400,327400,309700,378500,265200,207100
Sep 2016,229.9,230.3,234.7,220.9,214.7,236.4,306700,324700,308900,371100,261500,205000
Oct 2016,227.4,227.9,231.5,220.3,213.1,232.8,303400,321300,304700,370100,259600,201800
Nov 2016,226.1,226.3,228.3,222.2,210.7,233.7,301600,319100,300400,373300,256600,202600
Dec 2016,224.7,225.1,228.5,217.6,209.3,230.8,299700,317400,300700,365600,254900,200100
