Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,203100,216700,209100,244500,166400,119400
Feb 2005,102.5,102.3,102.3,102.1,104.4,102.3,208200,221700,213900,249600,173700,122100
Mar 2005,105,104.5,104.6,104.2,109,104.7,213300,226500,218700,254800,181400,125000
Apr 2005,107.5,107.2,107.3,107,111,106.7,218300,232300,224400,261600,184700,127400
May 2005,110.2,110,110,109.9,113.1,108.8,223800,238400,230000,268700,188200,129900
Jun 2005,112.9,112.8,112.8,112.9,115.3,110.9,229300,244400,235900,276000,191900,132400
Jul 2005,114.5,114.4,114.5,114.4,117,112.7,232500,247900,239400,279700,194700,134600
Aug 2005,116.2,116.1,116.1,115.9,118.9,114.6,236000,251600,242800,283400,197800,136800
Sep 2005,117.9,117.8,117.9,117.3,120.7,116.4,239500,255300,246500,286800,200800,139000
Oct 2005,118.8,118.4,118.5,118,121.8,118.9,241300,256600,247800,288500,202700,142000
Nov 2005,119.6,119.1,119.2,118.6,122.9,121.5,242900,258100,249200,290000,204500,145100
Dec 2005,120.5,119.7,119.8,119.3,124.1,124,244700,259400,250500,291700,206500,148100
Jan 2006,123,122.2,122.3,121.8,126.6,126.6,249800,264800,255700,297800,210700,151200
Feb 2006,125.5,124.7,124.7,124.4,129.1,129.3,254900,270200,260700,304200,214800,154400
Mar 2006,128.2,127.3,127.3,127.1,131.8,132,260400,275900,266200,310800,219300,157600
Apr 2006,130,129.1,129.2,128.4,133.8,134.1,264000,279800,270200,313900,222600,160100
May 2006,131.9,130.9,131.2,129.7,135.8,136.3,267900,283700,274300,317100,226000,162700
Jun 2006,133.8,132.7,133.2,131.2,137.8,138.5,271700,287600,278500,320800,229300,165400
Jul 2006,135,133.7,134.1,132.3,139.4,140.6,274200,289700,280400,323500,232000,167900
Aug 2006,136.1,134.7,135.1,133.5,141,142.6,276400,291900,282500,326400,234600,170300
Sep 2006,137.3,135.7,136,134.6,142.6,144.7,278900,294100,284400,329100,237300,172800
Oct 2006,136.8,135.2,135.6,134,142.1,143.8,277800,293000,283500,327600,236500,171700
Nov 2006,136.3,134.8,135.2,133.3,141.7,142.9,276800,292100,282700,325900,235800,170600
Dec 2006,135.8,134.3,134.7,132.7,141.3,142,275800,291000,281700,324500,235100,169500
Jan 2007,137.5,136.1,136.5,134.4,142.2,144.3,279300,294900,285400,328600,236600,172300
Feb 2007,139.3,137.8,138.3,136.2,143,146.6,282900,298600,289200,333000,238000,175000
Mar 2007,141.1,139.7,140.2,138,143.8,148.9,286600,302700,293200,337400,239300,177800
Apr 2007,143.3,141.8,142.2,140.3,146.4,151.5,291000,307300,297300,343000,243600,180900
May 2007,145.6,144,144.3,142.8,149.2,154.1,295700,312000,301700,349100,248300,184000
Jun 2007,147.9,146.2,146.4,145.3,152,156.9,300400,316800,306100,355300,252900,187300
