Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,304500,346800,320300,403600,289600,202100
Feb 2005,102.1,102,102,102.2,102.1,102.2,310900,353700,326700,412500,295700,206500
Mar 2005,104.2,104.1,104,104.4,104.2,104.4,317300,361000,333100,421400,301800,211000
Apr 2005,106.3,106.4,106.2,106.7,106.1,106.2,323700,369000,340200,430600,307300,214600
May 2005,108.4,108.6,108.5,109,108,107.9,330100,376600,347500,439900,312800,218100
Jun 2005,110.6,111,110.8,111.3,109.9,109.8,336800,384900,354900,449200,318300,221900
Jul 2005,112.1,112.3,112,112.7,111.3,112,341300,389500,358700,454900,322300,226400
Aug 2005,113.7,113.5,113.3,114.2,112.7,114.4,346200,393600,362900,460900,326400,231200
Sep 2005,115.2,114.9,114.5,115.6,114.1,116.7,350800,398500,366700,466600,330400,235900
Oct 2005,115.6,114.9,114.7,115.5,114.7,117.6,352000,398500,367400,466200,332200,237700
Nov 2005,115.9,115,114.9,115.3,115.3,118.5,352900,398800,368000,465400,333900,239500
Dec 2005,116.3,115.1,115,115.2,116,119.4,354100,399200,368300,464900,335900,241300
Jan 2006,118.5,117.4,117.3,117.6,118.5,121.4,360800,407100,375700,474600,343200,245300
Feb 2006,120.8,119.8,119.7,120,121,123.3,367800,415500,383400,484300,350400,249200
Mar 2006,123.2,122.3,122.1,122.5,123.7,125.4,375100,424100,391100,494400,358200,253400
Apr 2006,124.3,123.3,123.5,122.9,125,126.6,378500,427600,395600,496000,362000,255900
May 2006,125.4,124.3,124.8,123.2,126.3,127.8,381800,431100,399700,497200,365800,258300
Jun 2006,126.6,125.4,126.2,123.6,127.6,129.1,385500,434900,404200,498800,369500,260900
Jul 2006,126.9,125.5,126.1,124.2,128.5,129.6,386400,435200,403900,501300,372100,261900
Aug 2006,127.2,125.6,126.1,124.8,129.4,130,387300,435600,403900,503700,374700,262700
Sep 2006,127.5,125.8,126,125.5,130.3,130.5,388200,436300,403600,506500,377300,263700
